campaign_id,campaign_name,channel_id
1,Summer Sale,4
2,Winter Sale,1
3,Festive Offer,9
4,New Product Launch,8
5,Brand Awareness,8
6,Retargeting Campaign,5
7,Black Friday Deal,4
8,Holiday Special,18
9,Flash Sale,3
10,Clearance Sale,19
11,Back to School,14
12,Mega Discount,2
13,Year End Sale,1
14,Customer Acquisition,3
15,Loyalty Program,7
16,Referral Boost,8
17,Limited Time Offer,17
18,Spring Promotion,20
19,Monsoon Deal,1
20,Diwali Bonanza,18
21,Christmas Offer,7
22,New Year Campaign,18
23,Product Showcase,14
24,Lead Generation,8
25,App Install Drive,15
26,Free Trial Push,19
27,Exclusive Members Sale,9
28,Weekend Special,1
29,Early Bird Offer,6
30,Mega Giveaway,14
